feature,RelR2_ols_ts30,RelR2_rf_ts30,RelR2_xgb_ts30,RelR2_mlp_ts30,RelR2_svr_ts30,RelR2_ols_ts45,RelR2_rf_ts45,RelR2_xgb_ts45,RelR2_mlp_ts45,RelR2_svr_ts45,RelR2_ols_ts60,RelR2_rf_ts60,RelR2_xgb_ts60,RelR2_mlp_ts60,RelR2_svr_ts60,RelR2_ols_ts75,RelR2_rf_ts75,RelR2_xgb_ts75,RelR2_mlp_ts75,RelR2_svr_ts75,RelR2_ols_ts90,RelR2_rf_ts90,RelR2_xgb_ts90,RelR2_mlp_ts90,RelR2_svr_ts90
BlkCnt,-0.0134,0.0093,-0.0128,-0.0134,-0.0651,-0.0922,0.019,-0.0089,-0.0922,-0.1186,0.0029,0.0022,0.001,0.0029,-0.084,-0.1023,0.0078,0.0015,-0.1023,-0.1739,0.013,-0.0135,0.009,0.013,0.0216
BlkSizeMeanByte,-0.0012,0.0091,0.0231,-0.0012,-0.0632,0.0035,0.0032,-0.0105,0.0035,-0.0123,0.0085,-0.005,-0.0044,0.0085,0.0362,-0.0395,-0.0121,-0.0178,-0.0395,0.0027,0.0216,-0.0005,-0.0069,0.0216,-0.0023
DiffMean,0.046,0.0152,0.0091,0.046,-0.014,-0.0186,0.0033,0.0182,-0.0186,0.0118,0.0222,0.0043,0.0195,0.0222,0.0078,-0.055,-0.015,0.0206,-0.055,-0.0046,0.0684,-0.0009,0.0052,0.0684,0.0101
Expected_Inflation,-0.0068,0.0117,0.0038,-0.0068,0.0157,-0.0497,0.0057,0.0078,-0.0497,0.0097,0.0048,-0.0144,0.0091,0.0048,0.0103,-0.0199,-0.0007,0.0157,-0.0199,-0.0053,-0.0179,-0.0014,-0.0173,-0.0179,0.0242
FeeMeanUSD,-0.2147,0.011,-0.0048,-0.2147,-0.0781,-0.1286,-0.0122,-0.0262,-0.1286,-0.0852,-0.1359,-0.0149,-0.0432,-0.1359,-0.0601,-0.1005,-0.0221,-0.0201,-0.1005,-0.0361,-0.0485,0.0018,-0.02,-0.0485,0.0151
HashRate,0.0177,0.0108,0.0099,0.0177,-0.0129,-0.0228,0.0078,0.0086,-0.0228,-0.007,-0.0065,0.0014,0.0168,-0.0065,-0.0031,-0.0706,-0.0156,0.0096,-0.0706,-0.0206,0.0778,-0.0043,0.0237,0.0778,0.0312
OAS,-0.1893,0.0197,-0.0056,-0.1893,-0.0775,-0.1269,-0.0087,-0.0146,-0.1269,-0.0318,-0.1477,-0.0116,-0.0077,-0.1477,0.0157,-0.1111,-0.0129,-0.0089,-0.1111,-0.0061,-0.1085,-0.0085,-0.0229,-0.1085,0.0131
PriceUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RevUSD,0.0671,0.0198,0.026,0.0671,-0.02,-0.056,0.0025,0.0062,-0.056,0.0215,-0.0526,0.0053,0.0106,-0.0526,0.0179,0.014,-0.0103,0.0098,0.014,0.0009,-0.0066,-0.0072,-0.0007,-0.0066,0.0403
Risk_Free,0.0456,0.0128,0.0232,0.0456,0.0224,-0.081,0.0065,-0.0187,-0.081,0.0137,-0.0139,0.0084,-0.0053,-0.0139,0.0193,-0.0395,-0.0158,0.0042,-0.0395,-0.0021,0.0894,0.0041,0.0064,0.0894,0.0228
Ten_Year,-0.0261,0.0168,-0.0023,-0.0261,0.0191,0.0631,0.0221,0.0136,0.0631,0.0301,-0.0105,0.0022,-0.0004,-0.0105,0.0363,-0.0271,0.0172,-0.0129,-0.0271,0.0155,0.0147,-0.0143,0.0089,0.0147,0.0121
Term_Spread,-0.0037,0.0126,0.0038,-0.0037,-0.002,0.0479,0.0049,-0.0016,0.0479,0.0359,0.0351,-0.001,0.0199,0.0351,0.0106,-0.1065,-0.0131,0.0226,-0.1065,-0.0158,0.0325,-0.0081,0.0213,0.0325,0.0171
Two_Year,-0.0158,0.0112,0.0145,-0.0158,0.006,-0.0629,0.0108,-0.0038,-0.0629,0.0147,-0.0145,-0.0011,0.0136,-0.0145,0.011,0.025,-0.0044,-0.0062,0.025,0.0121,0.0972,0.0002,-0.0143,0.0972,0.0075
TxTfrValAdjUSD,-0.0819,0.0211,0.0135,-0.0819,-0.0637,0.0555,0.015,0.0046,0.0555,-0.0421,-0.0078,-0.006,0.0158,-0.0078,0.0202,-0.0535,0.0001,-0.0138,-0.0535,-0.0275,-0.0067,-0.0009,0.002,-0.0067,0.0086
URTH,0.06,0.0203,0.0091,0.06,-0.0044,-0.0357,-0.004,0.0013,-0.0357,0.0068,-0.0254,-0.0018,0.0146,-0.0254,0.0101,-0.0068,-0.0108,-0.0094,-0.0068,0.0057,0.0648,-0.0053,0.0022,0.0648,-0.001
USD_Index,0.0124,0.0252,-0.0156,0.0124,0.0016,0.0005,0.0121,0.0068,0.0005,0.0035,0.0336,0.0151,0.0084,0.0336,0.01,-0.0367,0.0054,-0.0041,-0.0367,-0.001,0.0924,0.0032,-0.0135,0.0924,-0.0009
US_News_Sentiment,-0.2431,0.0246,-0.0157,-0.2431,-0.0857,-0.1548,-0.003,0.0018,-0.1548,-0.0693,-0.1529,-0.0066,-0.0283,-0.1529,0.0333,-0.1474,-0.0109,-0.0348,-0.1474,-0.0176,-0.0505,-0.0165,-0.0337,-0.0505,0.0372
VIX,-0.1939,0.0143,-0.0178,-0.1939,-0.0532,-0.1041,0.0047,-0.0154,-0.1041,-0.0417,-0.3405,-0.0263,-0.0163,-0.3405,-0.0635,-0.2056,-0.0007,0.0103,-0.2056,-0.1056,-0.0349,-0.0137,-0.0234,-0.0349,-0.0706
^GSPC,0.0543,0.0102,0.0227,0.0543,-0.0042,0.0316,0.0103,0.0024,0.0316,0.0034,0.0507,-0.0048,0.0034,0.0507,0.0081,-0.0695,0.0009,0.0003,-0.0695,0.0048,-0.0251,0.0006,-0.0005,-0.0251,0.0032
